,Unnamed: 0,ID отзыва,Дата,Номенклатура,Количество звезд,Бренд,Текст отзыва,Имя,Регион,Цвет,Размер,Полезность (количество минусов),Полезность (количество плюсов),Полезность,cleaned_tweets
3354,3354,8582,12/10/2020,Артикул 1736,5,Бренд 5,Отличный набор! Уже непервый набор этого производителя в копилке вышитых работ. Все продумано и бисер остался. Приложила фото уже готовой работы.,Инна,RU,белый,0,0,1,1,отличный набор непервый набор производитель копилка вышивать работа продумывать бисер оставаться прикладывать фото готовый работа
3355,3355,8584,12/10/2020,Артикул 4178,5,Бренд 18,Понравилась.,Кристина,RU,"светло-зеленый, салатовый",0,0,0,0,понравиться
3356,3356,8586,12/10/2020,Артикул 4178,5,Бренд 18,"Пряжа классная! Но я начинающая вязальщица, мне тяжело с ней справляться. На фото спицы №2, плотность около 38 петель в 10 см. Вязала в одну нить. Нить при вязании ""расщепляется"" так как состоит из нескольких тонюсеньких волокон, но думаю, опытным вязальщицам будет просто с ней справится. Цвет очень красивый. Для летних вещей отлично.",Кристина,RU,"светло-зеленый, салатовый",0,0,1,1,пряжа классный начинающий вязальщица тяжело справляться фото спица №  плотность около  петля  см вязать нить нить вязание расщепляться состоять несколько тонюсенький волокно думать опытный вязальщица просто справляться цвет очень красивый летний вещь отлично
3357,3357,8587,12/10/2020,Артикул 4699,5,Бренд 16,Нужен белый цвет!!! Очень,Светлана,RU,молочный,0,0,1,1,нужный белый цвет !!! очень
3358,3358,8589,12/10/2020,Артикул 3377,5,Бренд 10,"Цвет светло-синий скорее светло-сиреневый, полностью совпадает с фото. В остальном пряжа хорошая, Нить хорошо скручена, люблю такую пряжу",Ирина,RU,светло-синий,0,0,1,1,цвет светло-синий скоро светло сиреневый полностью совпадать фото остальное пряжа хороший нить скручивать любить пряжа
3359,3359,8590,12/10/2020,Артикул 4700,5,Бренд 88,"Дополняю отзыв,мужу размер подошёл,поло понравилось,фото прилагаю.К покупке однозначно рекомендую!",Юлия,RU,хаки,xxl,0,0,0,дополнять отзыв муж размер подходить поло понравиться фото прилагать покупка однозначно рекомендовать
3360,3360,8591,12/10/2020,Артикул 3167,5,Бренд 53,"Дошёл целый, выкупила. Хотела начать отшив диптиха именно с этой картины. Но-о-о мужчина девушку не пропустил. Не выдержала, начала с него, уже лист заканчиваю. (промолчим, что их там ещё 7)))) ой не скоро доберусь до боярышни. Но я ползу",Елена,RU,белый,0,0,0,0,доходить целый выкупать хотеть начинать отшивать диптих именно картина мужчина девушка пропускать выдерживать начало лист заканчивать промолчать  ))))  ой скоро добираться боярышня ползти
3361,3361,8594,12/10/2020,Артикул 2478,1,Бренд 24,"Недостает одного мотка,вместо 4 пришло 3, и вскрытая упаковка. Отказ",Алла,RU,"светло-зеленый, изумрудный",0,0,0,0,недоставать моток вместо  приходить  вскрывать упаковка отказ
3362,3362,8596,12/10/2020,Артикул 2993,5,Бренд 18,"Связала внучке носки,в две нитки крючком. в одну тонковато.Пряжа хорошо упакована.Фото прилагаю.Спасибо производителю и конечно магазину.",Валентина,RU,черный,0,0,1,1,связывать внучка носок нитка крючок тонковатый пряжа упаковывать фото прилагать спасибо производитель магазин
3363,3363,8597,12/10/2020,Артикул 333,4,Бренд 2,"Как и писали в отзывах нет номера 17, ниток много, но хотелось бы чтобы нитки были закреплены лучше, для того чтобы не путались. Снижаю из-за отсутствия ниток одну звезду",Лариса,RU,белый,0,1,0,-1,писать отзыв номер  нитка хотеться нитка закреплять путаться снижать из-за отсутствие нитка звезда
3364,3364,8598,12/10/2020,Артикул 2361,5,Бренд 5,Вышивка огонь,Мария,RU,белый,0,0,0,0,вышивка огонь
3365,3365,8599,12/10/2020,Артикул 4700,5,Бренд 88,"Поло мне понравилось,надеюсь мужу подойдёт,ещё не мерил.Покупала на рост 193,52-54 рос.размер.Качество отличное,но цвет,на мой взгляд,отличается немного от того,что представлено на фото.Как то так",Юлия,RU,хаки,xxl,0,1,1,поло понравиться надеяться муж подходить мерить покупать рост    расти размер качество отличный цвет взгляд отличаться немного представлять фото
3366,3366,8602,12/10/2020,Артикул 2371,5,Бренд 6,"Данный набор очень понравился, полотно плотное, качество хорошее, хотя раньше  не чего подобное не вышивала, инструкция понятна даже для новичка.
Все расфасовано с запасом. 
Иглу рекомендую купить еще, у меня она сломалась, хотя может подойти и обычная, только очень тонкая.
Нить в наборе не идёт.
Плюс к набору приобрела контейнер для бисера.",Елена,RU,коричневый,0,0,1,1,данный набор очень понравиться полотно плотный качество хороший хотя рано подобный вышивать инструкция понятный новичок расфасовывать запас игла рекомендовать купить сломаться хотя мочь подходить обычный очень тонкий нить набор идти плюс набор приобретать контейнер бисер
3367,3367,8603,12/10/2020,Артикул 3405,5,Бренд 24,"Очень нежная, все супер!",Нина,RU,"белый, светло-бирюзовый",0,0,1,1,очень нежный супер
3368,3368,8604,12/10/2020,Артикул 3046,5,Бренд 10,"Очень красивый цвет, такой ежевичный. Добавила нить блестящей ангоры тоном светлее и просто красота!",Юлия,RU,"глубокий розовый, фуксия",0,0,1,1,очень красивый цвет ежевичный добавлять нить блестящий ангора тон светлый просто красота
3369,3369,8606,12/10/2020,Артикул 2478,1,Бренд 24,"Вообще тоска,одно расстройство,вместо 4 шт.пришло 3 шт. Пришлось отказаться,",Алла,RU,"светло-зеленый, изумрудный",0,0,0,0,вообще тоска расстройство вместо  шт приходить  шт приходиться отказываться
3370,3370,8610,12/10/2020,Артикул 1638,5,Бренд 18,"Пришла посылка очень быстро, все хорошо упаковано, благодарю",Галина,RU,белый,0,0,0,0,приходить посылка очень быстро упаковывать благодарить
